dataset_file,event_id,turbine_id,label,description,detected,max_criticality,alarm_count,lead_time_hours,coverage_fbeta,earliness_ws,failure_classification,source_farm,target_farm,condition
39.csv,39,CARE-WT-52,anomaly_event,15004 : Safety chain relay open + 93005 : Gear oil cooler bypass valve,False,63,124,,0.0,0.1225,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
4.csv,4,CARE-WT-34,anomaly_event,23020 : Axis 3 not ready-to-operate,False,38,71,,0.0,0.0,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
44.csv,44,CARE-WT-44,anomaly_event,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,False,27,62,,0.0,0.001,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",False,6,19,,0.0,0.0,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
49.csv,49,CARE-WT-33,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
5.csv,5,CARE-WT-32,anomaly_event,WEC in failure - current measurement own consumption,True,124,197,97.33,0.0,0.2227,NONE (DETECTED),Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,False,18,43,,0.0329,0.0232,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
66.csv,66,CARE-WT-12,anomaly_event,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",True,78,101,,0.0,0.1429,NONE (DETECTED),Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
67.csv,67,CARE-WT-35,anomaly_event,Turbine has some issues with overpressure on the main transformer,False,67,177,,0.0259,0.013,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
76.csv,76,CARE-WT-53,anomaly_event,WEC in failure with pitch battery issues - rewiring,True,81,87,,0.0,0.0,NONE (DETECTED),Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,False,3,3,,0.0,0.0113,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
81.csv,81,CARE-WT-38,anomaly_event,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",False,26,119,,0.6357,0.2977,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
90.csv,90,CARE-WT-56,anomaly_event,COMMUNICATION FAULT BK1120 IN NC300 A2,False,11,41,,0.0,0.0042,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
91.csv,91,CARE-WT-42,anomaly_event,23020 : Axis 3 not ready-to-operate,False,25,77,,0.004,0.0067,insufficient_persistence,Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED
0.csv,0,CARE-WT-0,anomaly_event,Generator bearing failure,False,0,9,,0.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
10.csv,10,CARE-WT-10,anomaly_event,Gearbox failure,False,0,2,,0.0101,0.0027,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
22.csv,22,CARE-WT-21,anomaly_event,Hydraulic group,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
26.csv,26,CARE-WT-0,anomaly_event,Hydraulic group,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
40.csv,40,CARE-WT-10,anomaly_event,Generator bearing failure,False,7,12,,0.0,0.0009,insufficient_persistence,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
42.csv,42,CARE-WT-10,anomaly_event,Hydraulic group,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
45.csv,45,CARE-WT-13,anomaly_event,Hydraulic group,False,0,0,,1.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
68.csv,68,CARE-WT-11,anomaly_event,Transformer failure,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
72.csv,72,CARE-WT-21,anomaly_event,Gearbox failure,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
73.csv,73,CARE-WT-0,anomaly_event,Hydraulic group,False,2,32,,0.133,0.0068,insufficient_persistence,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
84.csv,84,CARE-WT-13,anomaly_event,Hydraulic group,False,0,0,,1.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,STRICT_ZERO_SHOT
0.csv,0,CARE-WT-0,anomaly_event,Generator bearing failure,True,286,534,403.83,0.0581,0.0225,NONE (DETECTED),Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
10.csv,10,CARE-WT-10,anomaly_event,Gearbox failure,False,0,70,,0.2341,0.0802,no_threshold_crossing,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
22.csv,22,CARE-WT-21,anomaly_event,Hydraulic group,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
26.csv,26,CARE-WT-0,anomaly_event,Hydraulic group,False,0,12,,0.0568,0.0003,no_threshold_crossing,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
40.csv,40,CARE-WT-10,anomaly_event,Generator bearing failure,True,153,795,691.17,0.4001,0.0958,NONE (DETECTED),Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
42.csv,42,CARE-WT-10,anomaly_event,Hydraulic group,False,6,75,,0.2691,0.0516,insufficient_persistence,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
45.csv,45,CARE-WT-13,anomaly_event,Hydraulic group,False,46,105,,1.0,0.0808,insufficient_persistence,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
68.csv,68,CARE-WT-11,anomaly_event,Transformer failure,False,0,0,,0.0,0.0,no_threshold_crossing,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
72.csv,72,CARE-WT-21,anomaly_event,Gearbox failure,False,27,37,,0.0,0.0,insufficient_persistence,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
73.csv,73,CARE-WT-0,anomaly_event,Hydraulic group,False,26,139,,0.3726,0.0152,insufficient_persistence,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
84.csv,84,CARE-WT-13,anomaly_event,Hydraulic group,False,16,36,,1.0,0.0029,insufficient_persistence,Wind Farm C,Wind Farm A,TARGET_NORMAL_CALIBRATED
19.csv,19,CARE-WT-11,anomaly_event,high temperature,False,7,7,,0.0,0.0018,insufficient_persistence,Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT
27.csv,27,CARE-WT-7,anomaly_event,Turbine is stopped due to a main bearing damage,True,114,370,,0.0,0.0032,NONE (DETECTED),Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT
34.csv,34,CARE-WT-14,anomaly_event,high temperature,False,17,17,,0.0,0.0,insufficient_persistence,Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT
53.csv,53,CARE-WT-6,anomaly_event,Rotor Bearing 2 - Damage,True,146,243,953.0,0.0164,0.0533,NONE (DETECTED),Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT
7.csv,7,CARE-WT-13,anomaly_event,high temperature,False,8,10,,0.0,0.0,insufficient_persistence,Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT
77.csv,77,CARE-WT-12,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,False,5,21,,0.0019,0.0022,insufficient_persistence,Wind Farm C,Wind Farm B,STRICT_ZERO_SHOT
19.csv,19,CARE-WT-11,anomaly_event,high temperature,False,7,12,,0.0,0.0018,insufficient_persistence,Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED
27.csv,27,CARE-WT-7,anomaly_event,Turbine is stopped due to a main bearing damage,True,814,984,802.5,0.0018,0.0106,NONE (DETECTED),Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED
34.csv,34,CARE-WT-14,anomaly_event,high temperature,False,17,40,,0.0016,0.0097,insufficient_persistence,Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED
53.csv,53,CARE-WT-6,anomaly_event,Rotor Bearing 2 - Damage,True,247,286,994.83,0.0078,0.0622,NONE (DETECTED),Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED
7.csv,7,CARE-WT-13,anomaly_event,high temperature,False,53,168,,0.0047,0.0248,insufficient_persistence,Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED
77.csv,77,CARE-WT-12,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,True,184,600,1184.67,0.0076,0.032,NONE (DETECTED),Wind Farm C,Wind Farm B,TARGET_NORMAL_CALIBRATED
